2, 5
1, 7
2, 5
6, 7
1, 3
7, 5
9, 2
4, 6
7, 10
5, 6
1, 3
10, 6
1, 7
1, 3
3, 4
4, 5
2, 10
1, 6
9, 10
2, 3
9, 7
5, 1
6, 5
4, 5
10, 2
10, 3
4, 9
5, 9
9, 7
3, 2
9, 8
4, 1
3, 4
7, 4
1, 9
6, 5
6, 8
8, 1
5, 6
8, 9
9, 10
7, 3
1, 7
8, 2
5, 10
9, 8
6, 5
8, 1
2, 8
6, 9
9, 9
2, 9
2, 3
6, 8
5, 5
4, 4
2, 8
6, 6
4, 7
1, 8
4, 9
9, 6
1, 8
3, 3
7, 1
10, 9
7, 1
2, 7
2, 10
9, 8
8, 3
10, 3
10, 8
7, 6
10, 7
1, 1
6, 8
7, 3
10, 7
6, 1
9, 5
5, 9
1, 8
3, 3
3, 7
4, 7
8, 10
4, 9
5, 4
8, 6
4, 1
6, 8
7, 9
2, 9
3, 3
10, 9
1, 10
2, 3
3, 10
1, 4
